Protein,datatype,MTFE,Rs,Sd,Frame,Sequence,length,kappa,FCR,NCPR,Hydrophobicity,Expanding,delta
puma_scramble_57,ee,0.0,2.728260562518241,0.2982553609826527,16824.0,,,,,,,,
puma_scramble_57,ee,1.0,3.351816472326836,0.0627270890876373,16824.0,,,,,,,,
puma_scramble_57,ee,2.0,3.803495892873136,0.0385107988589271,16824.0,,,,,,,,
puma_scramble_57,ee,3.0,4.028163473240064,0.0236467901939747,16824.0,,,,,,,,
puma_scramble_93,ee,-3.0,1.0661607832513107,0.3377358878610405,16836.0,,,,,,,,
puma_scramble_93,ee,-2.0,1.3951804491943074,0.1890662857164756,16830.0,,,,,,,,
puma_scramble_93,ee,-1.0,2.0028182273889583,0.191146196131929,33656.0,,,,,,,,
puma_scramble_93,ee,0.0,3.0989643498808785,0.0458541012958384,33648.0,,,,,,,,
puma_scramble_93,ee,1.0,3.655118518303514,0.0640030247060092,33154.0,,,,,,,,
puma_scramble_93,ee,2.0,4.159423944142196,0.0346082970272235,16824.0,,,,,,,,
puma_scramble_93,ee,3.0,4.429523004997474,0.0206281355884551,16824.0,,,,,,,,
puma_scramble_96,ee,-3.0,1.9817438264524885,0.1746608101918756,16824.0,,,,,,,,
puma_scramble_96,ee,-2.0,2.153180199168194,0.1581038969640135,16824.0,,,,,,,,
puma_scramble_96,ee,-1.0,2.369189096727204,0.077097318991383,33648.0,,,,,,,,
puma_scramble_96,ee,0.0,2.755369429946428,0.0121571318152085,33648.0,,,,,,,,
puma_scramble_96,ee,1.0,3.1338174740154576,0.0286340355421274,33648.0,,,,,,,,
puma_scramble_96,ee,2.0,3.625768865614109,0.0436202061928453,16824.0,,,,,,,,
puma_scramble_96,ee,3.0,3.918698120282992,0.0113733605738795,16824.0,,,,,,,,
puma_scramble_40,ee,-3.0,0.956833060060097,0.4598193004569799,16830.0,,,,,,,,
puma_scramble_40,ee,-2.0,2.153201372931741,0.4369035145354004,16824.0,,,,,,,,
puma_scramble_40,ee,-1.0,2.497010225246789,0.1847828505040091,16824.0,,,,,,,,
puma_scramble_40,ee,0.0,3.1078959512575235,0.0547845811912443,16824.0,,,,,,,,
